f_n,d,N,pi_s,max_d,emp_d
1329,17,10000,1.4,0.06794809600838878,0.20844646634030528
1330,17,10000,1.4,0.0771995155139434,0.21646188838344024
1331,17,10000,1.6,0.07955272238385505,0.2414278893578813
1332,17,10000,1.6,0.08361832029262992,0.23437533097782928
1333,17,10000,1.6,0.07325854056813656,0.22580557543979235
1334,17,10000,1.6,0.09799542776305172,0.19891201481070273
1335,17,10000,1.6,0.08176406300446308,0.24547978151124564
1336,17,10000,1.6,0.07387797507635087,0.23722099082974463
1337,17,10000,1.6,0.08318925939533868,0.24133430087926494
1338,17,10000,1.6,0.10895007974758951,0.20429463194043268
1339,17,10000,1.6,0.0930079598442169,0.17390328495134194
1340,17,10000,1.6,0.08993394056648706,0.2021439080727347
1341,17,10000,1.8,0.14639933019707016,0.25211335764162257
1342,17,10000,1.8,0.0792317953694964,0.2688270089238608
1343,17,10000,1.8,0.08792701550603091,0.27002466590009755
1344,17,10000,1.8,0.07884282220903177,0.2736951936380547
1345,17,10000,1.8,0.16692960320726385,0.23689712202311125
1346,17,10000,1.8,0.09579001519857823,0.24701706689571912
1347,17,10000,1.8,0.1778159886735446,0.24282155112350137
1348,17,10000,1.8,0.0822123998164267,0.253872295093142
1349,17,10000,1.8,0.13236550510166759,0.1591766921575321
1350,17,10000,1.8,0.20649634739510014,0.1997332780482169
1351,17,20000,1.0,0.053618164628856574,0.12549507397128834
1352,17,20000,1.0,0.05632303382135101,0.11061125058804606
1353,17,20000,1.0,0.05138532469074164,0.12299747364422856
1354,17,20000,1.0,0.05161523993957003,0.12656599040140964
1355,17,20000,1.0,0.050762499311386884,0.11666656204309218
1356,17,20000,1.0,0.04988136889593272,0.12069296585897321
1357,17,20000,1.0,0.05539434225584014,0.12421508076737738
1358,17,20000,1.0,0.062299701412762094,0.10759025625188749
1359,17,20000,1.0,0.05158611994621909,0.13151472127704378
1360,17,20000,1.0,0.05260778186289903,0.1177554420450295
1361,17,20000,1.2,0.061915872775355804,0.1602326508496387
1362,17,20000,1.2,0.06128483826634716,0.16204172669827296
1363,17,20000,1.2,0.07059426170580045,0.13325283265551915
1364,17,20000,1.2,0.056727971216009934,0.1494414195938932
1365,17,20000,1.2,0.05423583526267201,0.15494011317207265
1366,17,20000,1.2,0.0599961869915787,0.14861253105195937
1367,17,20000,1.2,0.06106587796570919,0.16154372163586916
1368,17,20000,1.2,0.05893877129395379,0.16273741647061346
1369,17,20000,1.2,0.06048313276599275,0.13063045949732485
1370,17,20000,1.2,0.05545347912414797,0.15199526895375776
1371,17,20000,1.4,0.08117669999140932,0.13654667525481162
1372,17,20000,1.4,0.0646451511692764,0.171947382678752
1373,17,20000,1.4,0.1192369695166158,0.16765822030298588
1374,17,20000,1.4,0.06563057995992574,0.1810659976581636
1375,17,20000,1.4,0.06539236208190273,0.17650390738486138
1376,17,20000,1.4,0.06601394300108432,0.18375621899475403
1377,17,20000,1.4,0.07313004399089824,0.15852518521594233
1378,17,20000,1.4,0.06761226559949839,0.16424344998662938
1379,17,20000,1.4,0.06907165088080609,0.17546381602674233
1380,17,20000,1.4,0.07072473605170282,0.16622343319577412
1381,17,20000,1.6,0.07053723906730212,0.2120106889860035
1382,17,20000,1.6,0.07305431414213193,0.21566384449330941
1383,17,20000,1.6,0.06347348102098023,0.20808757026300612
1384,17,20000,1.6,0.07584087998168759,0.1918332261461403
1385,17,20000,1.6,0.07737880212893408,0.21649447296158045
1386,17,20000,1.6,0.07667314443041161,0.21943352762492666
1387,17,20000,1.6,0.07817536459868037,0.21823304819854272
1388,17,20000,1.6,0.07757927599268358,0.2175196649714031
1389,17,20000,1.6,0.1518530163875875,0.18142947087670508
1390,17,20000,1.6,0.1703574106670849,0.15337944626602093
